PaymentID,InvoiceNumber,PaymentDate,PaymentMethod,AddressLine,Town,Postcode,PaymentStatus
PY3343,IN6089,21/5/2022,Credit Card,Apt 103,Stoke-on-Trent,PA2 1AA,Payment Successful
PY3344,IN6090,23/8/2019,Debit Card,Suite 51,Chester,G1 1AA,Payment Successful
PY3345,IN6091,2/2/2022,Google Pay,PO Box 20783,Warrington,CM1 1AA,Payment Declined
PY3346,IN6092,16/12/2023,Credit Card,Apt 707,St Davids,NE1 1AA,Payment Successful
PY3347,IN6093,17/7/2019,Apple Pay,Room 1477,Bradford,NE2 1AA,Payment Successful
PY3348,IN6094,2/7/2021,PayPal,PO Box 95465,Liverpool,ZE2 0AA,Payment Successful
PY3349,IN6095,10/5/2022,Bank Transfer,Apt 1143,Oxford,YO2 1AA,Payment Successful
PY3350,IN6096,22/4/2022,Debit Card,Apt 1900,Hull,OX1 1AA,Payment Successful
PY3351,IN6097,9/5/2021,PayPal,PO Box 70107,Bradford,EC2A 1AA,Payment Successful
PY3352,IN6098,29/3/2023,Credit Card,17th Floor,Stirling,RH2 1AA,Payment Declined
PY3353,IN6099,4/6/2019,Apple Pay,18th Floor,Lichfield,N2 1AA,Payment Successful
PY3354,IN6100,25/6/2019,PayPal,Apt 1075,Nottingham,YO1 1AA,Payment Successful
PY3355,IN6101,25/7/2022,Apple Pay,Suite 25,Ripon,KA1 1AA,Payment Successful
PY3356,IN6102,28/3/2022,Debit Card,Suite 19,Slough,SW1A 1AA,Payment Successful
PY3357,IN6103,21/6/2023,Credit Card,Room 744,Dundee,LL2 1AA,Payment Successful
PY3358,IN6104,6/3/2019,Debit Card,14th Floor,Luton,AB11 1AA,Payment Successful
PY3359,IN6105,19/7/2023,PayPal,PO Box 99065,Stirling,AB11 1AA,Payment Successful
PY3360,IN6106,27/5/2021,Google Pay,PO Box 19142,Carlisle,UB2 1AA,Payment Declined
PY3361,IN6107,9/3/2023,Debit Card,Suite 68,Chichester,KT17 1BB,Payment Successful
PY3362,IN6108,26/1/2022,Apple Pay,6th Floor,Salisbury,BB2 1AA,Payment Successful
PY3363,IN6109,4/5/2023,Bank Transfer,Suite 99,York,B2 1AA,Payment Declined
PY3364,IN6110,13/9/2022,Bank Transfer,Room 1631,Salisbury,ZE2 0AA,Payment Successful
PY3365,IN6111,17/5/2019,PayPal,Suite 19,Stoke-on-Trent,L1 1AA,Payment Successful
PY3366,IN6112,9/4/2022,Debit Card,Suite 88,Exeter,ZE1 0AA,Payment Successful
PY3367,IN6113,19/7/2021,PayPal,Suite 11,Derby,HG1 1AA,Payment Successful
PY3368,IN6114,3/2/2023,Apple Pay,PO Box 43453,Liverpool,OL1 1AA,Payment Successful
PY3369,IN6115,30/1/2024,Credit Card,Apt 1541,Slough,OL2 1AA,Payment Successful
